EventCount, EventType, OldIDs, NewID, Time, NewVol, X, Y, Z, U, V, W, L1, L2, L3
26, Split,1,25, 1.22537E+01,1.7595063917860836E-04,  9.282493122885E+00,  1.085054877907E+00, -1.660826818834E-01,  8.619628437755E-01,  5.847346792667E-02,  7.528077585689E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
27, Split,23,26, 1.22721E+01,8.0931077767989288E-08,  9.914062500000E+00, -9.140625000000E-01, -3.984375000000E-01,  7.789816121884E-01, -8.107606422529E-02, -1.942939274481E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
28, Split,23,27, 1.22721E+01,1.3449038898480533E-09,  9.867187500000E+00, -9.609375000000E-01, -3.984375000000E-01,  6.590398872353E-01, -3.870613254298E-02, -2.599688760041E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
29, Merge,1;24;,1, 1.22906E+01,9.6218453891212317E+00
30, Split,15,28, 1.23089E+01,5.9241177798677376E-05,  7.713928773920E+00, -4.241440590863E-01, -1.223840350563E+00, -5.821410858102E-03, -7.031959372260E-02,  1.930296259328E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
31, Split,15,29, 1.23089E+01,1.4173550506768682E-04,  7.773506771020E+00, -2.842172165282E-01, -1.414199501253E+00,  4.966914367179E-02,  8.242948088182E-02,  1.819869481616E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
32, Split,1,30, 1.23271E+01,1.3176112707483461E-06,  7.713982601451E+00, -8.671607186570E-01, -1.242187500000E+00, -1.357900751285E-02,  1.663623539150E-01,  1.668473860448E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
33, Merge,1;30;,1, 1.23822E+01,9.6933574897450470E+00
34, Split,1,31, 1.24007E+01,1.3212786934846077E-06,  7.710937500000E+00, -8.671607984271E-01, -1.242187500000E+00, -3.190978740977E-02,  1.607369878757E-01,  1.835820818111E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
35, Merge,1;19;,1, 1.24195E+01,9.7225125208354637E+00
36, Split,1,32, 1.24577E+01,1.3649156936376127E-08,  7.710937500000E+00, -1.148437500000E+00, -1.195312500000E+00,  1.017196424710E-02,  1.232063936427E-01,  1.314052860346E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
37, Split,25,33, 1.24577E+01,2.9665444376824859E-09,  9.398437500000E+00,  1.148437500000E+00, -2.109375000000E-01,  6.834584189798E-01,  2.568691068537E-02,  8.630769539121E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
38, Split,25,34, 1.24577E+01,1.7594767904131260E-04,  9.464696184879E+00,  1.101213637197E+00, -1.425636437296E-01,  8.484613722310E-01,  5.671963439452E-02,  9.870863985220E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
39, Split,1,35, 1.24769E+01,1.3704797441249701E-04,  8.437560515694E+00, -5.002533419495E-01,  8.869939235432E-01,  3.254080866831E-01,  1.263375329315E-02, -1.036127471157E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
40, Merge,1;33;,1, 1.24963E+01,9.7823366685446818E+00
41, Split,21,36, 1.24963E+01,1.4428692245534961E-04,  8.558176210074E+00,  8.046440333387E-01, -3.993763882484E-01,  5.840095567826E-01, -2.270893433232E-01,  2.766466681073E-02,  2.378638701894E+03,  4.945741202211E+02,  2.410879120234E+02
42, Split,21,37, 1.24963E+01,3.4026639158027129E-04,  8.376563914374E+00,  6.954054419368E-01, -5.091798784158E-01,  4.091175859413E-01, -2.492598267364E-01, -9.296237501155E-03,  1.511622799577E+03,  3.184886571355E+02,  1.574365040115E+02
43, Split,1,38, 1.24963E+01,1.0164480844076345E-11,  9.632812500000E+00, -1.007810671334E+00,  5.859375000000E-01,  1.137620351093E+00, -3.796112820574E-02, -3.676112087557E-02,  1.049614978975E+07,  2.038022137708E+06,  9.089397617481E+05
44, Split,38,39, 1.25151E+01,3.9653207589364000E-16,  9.632812500000E+00, -1.007812500000E+00,  6.328125000000E-01,  8.108936920718E-01, -1.201001830125E-01,  1.243720058757E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
45, Split,38,40, 1.25151E+01,1.0164084015700546E-11,  9.679687500000E+00, -1.051230005898E+00,  5.859375000000E-01,  8.575189491358E-01, -6.955312712519E-02, -2.635535107630E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
46, Merge,1;39;,1, 1.25341E+01,9.8118487317424101E+00
47, Merge,1;40;,1, 1.25716E+01,9.8401309173956193E+00
